title_processed,abstract_processed,group
prevalence [MeSH:C0033105] i17k apc gene [MeSH:C0162832] variant israeli jew differ ethnic origin risk [MeSH:C0035647] colorectal cancer [MeSH:C0009402],aim israeli jew european [MeSH:C0239307] [MeSH:C0239307] birth e ashkenazim high colorectal cancer [MeSH:C0009402] [MeSH:C0009402] [MeSH:C0009402] [MeSH:C0009402] incidence [MeSH:C0021149] [MeSH:C0021149] israeli ethnic i17k apc gene [MeSH:C0162832] variant find american jew familial colorectal cancer [MeSH:C0009402] [MeSH:C0009402] [MeSH:C0009402] [MeSH:C0009402] case non-jews assess i17k prevalence [MeSH:C0033105] israeli jew differ ethnic origin risk [MeSH:C0035647] colorectal cancer [MeSH:C0009402] [MeSH:C0009402] [MeSH:C0009402] [MeSH:C0009402] method dna sample unrelated jew european [MeSH:C0239307] [MeSH:C0239307] non-european [MeSH:C0239307] [MeSH:C0239307] origin personal family history neoplasia examine i17k variant allele-specific oligonucleotide aso result person average risk [MeSH:C0035647] colorectal cancer [MeSH:C0009402] [MeSH:C0009402] [MeSH:C0009402] [MeSH:C0009402] i17k find european [MeSH:C0239307] [MeSH:C0239307] non-european [MeSH:C0239307] [MeSH:C0239307] jew p occur ashkenazi israelis [MeSH:C0022271] familial cancer p detect non-european [MeSH:C0239307] [MeSH:C0239307] jew increase cancer risk [MeSH:C0035647] [MeSH:C0035647] colorectal neoplasia [MeSH:C0009404] occur personally family ashkenazi i17k carrier personal family history noncolonic neoplasia conclusion i17k apc variant represent susceptibility [MeSH:C0012655] gene colorectal cancer [MeSH:C0009402] [MeSH:C0009402] [MeSH:C0009402] [MeSH:C0009402] ashkenazi jew partially explain high incidence [MeSH:C0021149] [MeSH:C0021149] colorectal cancer [MeSH:C0009402] [MeSH:C0009402] [MeSH:C0009402] [MeSH:C0009402] european [MeSH:C0239307] [MeSH:C0239307] israelis [MeSH:C0022271],neurological|oncological
venous connection dementia [MeSH:C0497327],design [MeSH:C0013171] cross-sectional investigation statin hypertension [MeSH:C0020538] participant [MeSH:C1708335] cardiac patient coronary artery disease [MeSH:C1956346] dysarthria result favorable safety profile aphasia [MeSH:C0003537] correlation [MeSH:C0010100] optimization [MeSH:C0376695],neurological|cardiovascular
delay [MeSH:C5544400] institution hypertension [MeSH:C0020538] focal cerebral ischemia [MeSH:C0917798] effect brain edema [MeSH:C1527311],effect [MeSH:C4277511] induce hypertension [MeSH:C0020538] institute [MeSH:C0021621] [MeSH:C0021621] -h delay [MeSH:C5544400] follow middle cerebral artery occlusion [MeSH:C0740391] mcao brain [MeSH:C0006104] edema [MeSH:C1527311] formation histochemical injury study isoflurane anesthesia [MeSH:C0002903] mca spontaneously hypertensive [MeSH:C0003364] [MeSH:C0003364] rat [MeSH:C0034721] occlude [MeSH:C0250400] n mean arterial pressure map [MeSH:C0024779] manipulate hypertensive [MeSH:C0003364] [MeSH:C0003364] n map [MeSH:C0024779] elevate mm hg begin h mcao hour mcao rat [MeSH:C0034721] kill brain [MeSH:C0006104] harvest brain [MeSH:C0006104] section coronal plane span distribution ischemia [MeSH:C0022116] produce mcao specific gravity [MeSH:C0282189] sg determine subcortex site cortex core periphery ischemic [MeSH:C0022116] [MeSH:C0022116] territory extent neuronal injury [MeSH:C3263723] determine -triphenyltetrazolium stain ischemic [MeSH:C0022116] [MeSH:C0022116] core difference sg subcortex cortex [MeSH:C0026607] group periphery ischemic [MeSH:C0022116] [MeSH:C0022116] territory sg cortex great edema accumulation hypertensive [MeSH:C0003364] [MeSH:C0003364] vs p area histochemical injury percent cross-sectional area hemisphere hypertensive [MeSH:C0003364] [MeSH:C0003364] vs p indicate phenylephrine-induced hypertension [MeSH:C0020538] institute [MeSH:C0021621] [MeSH:C0021621] h mcao aggravate edema ischemic [MeSH:C0022116] [MeSH:C0022116] core improve edema periphery ischemic [MeSH:C0022116] [MeSH:C0022116] territory reduce area histochemical neuronal dysfunction,neurological|cardiovascular
norepinephrine [MeSH:C0028351] connection angina pectoris,stroke [MeSH:C0038454] affect cancer [MeSH:C0006826] patient [MeSH:C0030705] [MeSH:C0030705] worldwide particularly involve gaba serotonin method conduct observational [MeSH:C0302523] evaluate [MeSH:C0013175] calcium channel blocker [MeSH:C0006684] patient [MeSH:C0030705] [MeSH:C0030705] examine radiotherapy [MeSH:C0034619] parameter result improve outcome care [MeSH:C4042948] improvement [MeSH:C2936612],neurological|oncological
hcc atrial fibrillation [MeSH:C0004238] vascular insight,investigate [MeSH:C0035173] ace inhibitor [MeSH:C0003015] effect cancer hepatorenal syndrome method [MeSH:C0019212] diabetic [MeSH:C1263960] patient [MeSH:C0030705] undergo cross-sectional primary biliary cholangitis [MeSH:C0008312] thrombosis [MeSH:C0040053] assessment [MeSH:C0030198] result well quality life measure safety [MeSH:C0036043] consideration,cardiovascular|hepatorenal
synaptic story hypertension aphasia,diabete affect cancer [MeSH:C0006826] patient [MeSH:C0030705] [MeSH:C0030705] worldwide particularly involve oligodendroglioma parkinson disease method conduct cross-sectional evaluate statin [MeSH:C0360714] patient [MeSH:C0030705] [MeSH:C0030705] examine encephalopathy [MeSH:C0085584] parameter result enhance therapeutic response [MeSH:C0087111] need investigation [MeSH:C0035173],neurological
brain pattern lymphoma patient [MeSH:C0030705],design [MeSH:C0013171] observational [MeSH:C0302523] investigation [MeSH:C0035173] metformin [MeSH:C0025598] diabete participant [MeSH:C1708335] elderly patient dementia [MeSH:C0497327] glioma [MeSH:C0017638] result decrease mortality rate [MeSH:C0205848] glutamate [MeSH:C0220839] correlation [MeSH:C0010100] relevance [MeSH:C2826293],neurological
investigation [MeSH:C0035173] pattern kidney injury [MeSH:C2609414] hiv-positive person expose tenofovir disoproxil fumarate examination large [MeSH:C1099776] population database mhra database,potential [MeSH:C0001272] tenofovir [MeSH:C0384228] cause range kidney [MeSH:C0022646] [MeSH:C0022646] syndrome [MeSH:C0022646] establish mechanistic randomised trial exact pattern kidney [MeSH:C0022646] [MeSH:C0022646] involvement [MeSH:C0030699] uncertain undertake descriptive yellow card record hiv-positive person take tenofovir [MeSH:C0384228] disoproxil fumarate tdf antiretroviral therapy [MeSH:C5545321] regiman submit medicine healthcare product regulatory agency [MeSH:C0017362] mhra suspect kidney [MeSH:C0022646] [MeSH:C0022646] adverse effect [MeSH:C0001688] [MeSH:C0001688] report satisfy define criterion [MeSH:C0243161] classify acute kidney [MeSH:C0022646] [MeSH:C0022646] injury kidney [MeSH:C0022646] [MeSH:C0022646] tubular dysfunction fanconi syndrome yellow card record analyse satisfied criterion [MeSH:C0243161] tdf-related kidney [MeSH:C0022646] [MeSH:C0022646] disease feature kidney [MeSH:C0022646] [MeSH:C0022646] tubular dysfunction find feature glomerular dysfunction fanconi syndrome median tdf exposure [MeSH:C1390376] day interquartile range incidence [MeSH:C0021149] hospitalisation tdf kidney [MeSH:C0022646] [MeSH:C0022646] adverse effect [MeSH:C0001688] [MeSH:C0001688] high particularly patient [MeSH:C0030705] feature fanconi syndrome pattern kidney [MeSH:C0022646] [MeSH:C0022646] syndrome population [MeSH:C0032659] series mirror report randomised trial cessation tdf associate complete restoration kidney [MeSH:C0022646] [MeSH:C0022646] function half patient [MeSH:C0030705] report,hepatorenal
effect alkylxanthine gentamicin-induced acute renal failure rat [MeSH:C0034721],adenosine [MeSH:C0001443] antagonist [MeSH:C2936829] [MeSH:C2936829] previously show benefit ischaemic [MeSH:C0948008] nephrotoxic model acute renal failure [MeSH:C0022660] [MeSH:C0022660] arf [MeSH:C0164116] present effect [MeSH:C4277511] alkylxanthine different potency [MeSH:C2349090] adenosine [MeSH:C0001443] antagonist [MeSH:C2936829] [MeSH:C2936829] -phenyltheophylline [MeSH:C0039771] theophylline [MeSH:C0039771] enprofylline [MeSH:C0059372] examine rat [MeSH:C0034721] develop acute renal failure [MeSH:C0022660] [MeSH:C0022660] daily injection [MeSH:C1828121] gentamicin [MeSH:C3854019] mg kg- renal function [MeSH:C0031843] [MeSH:C0031843] assess biochemical [MeSH:C0017401] plasma [MeSH:C0032105] urea creatinine functional [MeSH:C0031843] urine 3h inulin 4c p-aminohippuric acid [MeSH:C0030123] clearance [MeSH:C5243473] morphological degree necrosis index [MeSH:C0027540] drug [MeSH:C0013227] treatment [MeSH:C0039798] produce improvement [MeSH:C2936612] [MeSH:C2936612] measurement [MeSH:C0030198] renal function [MeSH:C0031843] [MeSH:C0031843] improvement [MeSH:C2936612] [MeSH:C2936612] produce drug [MeSH:C0013227] largely beneficial effect [MeSH:C4277511] exert vehicle [MeSH:C0175845] polyethylene glycol naoh lack consistent protective effect [MeSH:C4277511] note alkylxanthine test present indicate adenosine [MeSH:C0001443] play little pathophysiological [MeSH:C0031847] role gentamicin [MeSH:C3854019]-induced arf [MeSH:C0164116],hepatorenal
regurgitation diabetes mellitus [MeSH:C0011849] vascular insight,hypothesis [MeSH:C3179072] metformin [MeSH:C0025598] improve heart disease [MeSH:C0018799] outcome [MeSH:C0206277] smooth muscle pathway method prospective trial cardiac patient measure ectopic beat coronary artery disease [MeSH:C1956346] result favorable safety [MeSH:C0036043] profile cost-effectiveness [MeSH:C1511536] implication,cardiovascular
systolic [MeSH:C0039155] colorectal cancer [MeSH:C0009402] vascular [MeSH:C0221214] insight,design [MeSH:C0013171] cross-sectional [MeSH:C0010362] investigation [MeSH:C0035173] beta-blocker [MeSH:C0001645] stroke participant [MeSH:C1708335] diabetic [MeSH:C1263960] patient aortic valve atrioventricular block result reduction [MeSH:C1827449] adverse event [MeSH:C0041755] heart rate [MeSH:C0018810] correlation [MeSH:C0010100] need investigation [MeSH:C0035173],cardiovascular
stroke [MeSH:C0038454] connection leukemia,dementia [MeSH:C0497327] affect adult [MeSH:C0001675] population [MeSH:C0032659] worldwide particularly involve ataxia reticular formation method [MeSH:C0035284] conduct retrospective [MeSH:C0035363] evaluate statin [MeSH:C0360714] patient [MeSH:C0030705] examine cerebrovascular [MeSH:C0007820] parameter result improve outcome [MeSH:C0206277] therapeutic innovation [MeSH:C0087111],neurological
cardiomyopathy [MeSH:C0878544] nash organ [MeSH:C0029250] interplay,hypothesis [MeSH:C3179072] calcium channel blocker [MeSH:C0006684] improve dementia [MeSH:C0497327] outcome [MeSH:C0206277] interstitial nephritis pathway method [MeSH:C0027707] longitudinal trial [MeSH:C0023981] elderly patient measuring jaundice uremia [MeSH:C0022346] result decrease mortality rate [MeSH:C0205848] care improvement [MeSH:C2936612],hepatorenal
septum prostate cancer [MeSH:C0376358] vascular [MeSH:C0221214] insight,investigate [MeSH:C0035173] aspirin [MeSH:C0004057] effect [MeSH:C4277511] dementia [MeSH:C0497327] myocardial method [MeSH:C0027061] cardiac patient undergo prospective mitral valve atrial flutter assessment result positive response healthcare advancement,cardiovascular
cardiomyopathy [MeSH:C0878544] aki organ [MeSH:C0029250] interplay,investigate [MeSH:C0035173] statin [MeSH:C0360714] effect stroke [MeSH:C0038454] acute kidney injury method [MeSH:C2609414] diabetic [MeSH:C1263960] patient [MeSH:C0030705] undergo observational fatty liver nonalcoholic steatohepatitis [MeSH:C3241937] assessment [MeSH:C0030198] result favorable safety profile need investigation [MeSH:C0035173],hepatorenal
artery hypertension [MeSH:C0020538] vascular [MeSH:C0221214] insight,investigate [MeSH:C0035173] beta-blocker [MeSH:C0001645] effect dementia [MeSH:C0497327] atrium method [MeSH:C0025663] elderly patient undergo longitudinal venous pe assessment result decrease mortality rate [MeSH:C0205848] cost-effectiveness [MeSH:C1511536] implication,cardiovascular|oncological
cardiomyopathy peripheral artery disease [MeSH:C1704436] cardiac connection,hypothesis [MeSH:C3179072] calcium channel blocker [MeSH:C0006684] improve stroke [MeSH:C0038454] outcome [MeSH:C0206277] myocardium pathway method cross-sectional trial [MeSH:C0010362] cardiac patient measure pkd pacemaker result superior efficacy [MeSH:C5690761] relevance,cardiovascular|hepatorenal
effect [MeSH:C4277511] direct intracoronary administration [MeSH:C0001554] methylergonovine [MeSH:C0025760] patient [MeSH:C0030705] variant angina,effect [MeSH:C4277511] intracoronary administration [MeSH:C0001554] methylergonovine [MeSH:C0025760] study patient [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] variant angina [MeSH:C0002965] patient [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] atypical ch pain angina [MeSH:C0002965] pectoris methylergonovine [MeSH:C0025760] [MeSH:C0025760] administer continuously rate microgram [MeSH:C0376691] min microgram [MeSH:C0376691] patient [MeSH:C0030705] [MeSH:C0030705] [MeSH:C0030705] variant angina [MeSH:C0002965] coronary spasm [MeSH:C0037763] [MeSH:C0010073] provoke mean dose microgram [MeSH:C0376691] mean sd ischemic [MeSH:C0022116] st localized spasm [MeSH:C0037763] occur basal tone right coronary artery [MeSH:C0205042] [MeSH:C0205042] significantly low left coronary artery [MeSH:C0205042] percentage vasoconstriction right coronary artery [MeSH:C0205042] [MeSH:C0205042] significantly high left coronary artery [MeSH:C0205042] [MeSH:C5197884] result suggest spasm [MeSH:C0037763] provocation test use intracoronary injection [MeSH:C1828121] relatively low dose methylergonovine [MeSH:C0025760] high sensitivity [MeSH:C0036667] variant angina [MeSH:C0002965] vasoreactivity right coronary artery [MeSH:C0205042] [MeSH:C0205042] great coronary artery [MeSH:C0205042],neurological|cardiovascular
leukemia [MeSH:C0023418] cardiomyopathy [MeSH:C0878544] cardiac connection,hypothesis [MeSH:C3179072] beta-blocker [MeSH:C0001645] improve dementia [MeSH:C0497327] outcome atherosclerosis pathway method cross-sectional trial cancer [MeSH:C0010362] patient measure skin cancer [MeSH:C0007114] carcinoma result superior efficacy [MeSH:C5690761] healthcare advancement,cardiovascular|oncological
glucose phosphate dehydrogenase deficiency papua [MeSH:C2939465] new guinea [MeSH:C0018381],description [MeSH:C0022396] new variant total male region papua new guinea [MeSH:C0018381] screen red cell glucose phosphate dehydrogenase g6pd activity twenty-six g6pd deficient [MeSH:C2939465] individual identify biochemical [MeSH:C0017401] characterization g6pd purify subject reveal new variant copy previously describe form g6pd illustrate extreme heterogeneity [MeSH:C0242960] g6pd deficiency people [MeSH:C5690824] papua new guinea [MeSH:C0018381],neurological
tumor suppressor gene [MeSH:C0079427] brca1 [MeSH:C0259275] require embryonic [MeSH:C0013947] cellular proliferation [MeSH:C0596290] mouse,mutation [MeSH:C0026882] brca1 [MeSH:C0259275] [MeSH:C0259275] go human [MeSH:C0086418] associate predisposition [MeSH:C0314657] breast ovarian cancer [MeSH:C1140680] brca1 [MeSH:C0259275] [MeSH:C0259275] mouse [MeSH:C0026809] [MeSH:C0026809] normal fertile lack tumor age [MeSH:C0027651] month homozygous [MeSH:C0019904] brca1 [MeSH:C0259275] [MeSH:C0259275] mutant mouse [MeSH:C0026809] [MeSH:C0026809] die embryogenesis [MeSH:C0013936] mutant embryo [MeSH:C0013935] [MeSH:C0013935] [MeSH:C0013935] poorly develop evidence [MeSH:C5575834] mesoderm [MeSH:C0025485] formation [MeSH:C0029433] extraembryonic region [MeSH:C1282701] abnormal [MeSH:C0853087] aggregation [MeSH:C0007580] wild-type tetraploid embryo [MeSH:C0333694] rescue lethality vivo mutant embryo [MeSH:C0013935] [MeSH:C0013935] [MeSH:C0013935] exhibit increase apoptosis [MeSH:C0162638] reduce cell proliferation [MeSH:C0596290] accompany decrease expression [MeSH:C0017262] [MeSH:C0017262] cyclin e mdm- regulator p5 activity expression [MeSH:C0017262] [MeSH:C0017262] cyclin-dependent kinase inhibitor [MeSH:C0919418] p2 dramatically increase mutant embryo [MeSH:C0013935] [MeSH:C0013935] [MeSH:C0013935] buttress vivo observation [MeSH:C0302523] fact mutant blastocyst [MeSH:C1281743] growth [MeSH:C0018270] grossly impaired vitro death brca1 [MeSH:C0259275] [MeSH:C0259275] mutant embryo [MeSH:C0013935] [MeSH:C0013935] [MeSH:C0013935] prior gastrulation [MeSH:C0259902] failure [MeSH:C0035078] proliferative burst require development [MeSH:C0243107] different germ layer [MeSH:C0017472],oncological
differential [MeSH:C0036611] impact [MeSH:C5544368] immune escape [MeSH:C0282683] mutation [MeSH:C0026882] g15r p10 replication [MeSH:C0165675] lamivudine-resistant hepatitis b virus e antigen-positive -negative strain [MeSH:C0080194],immune escape [MeSH:C0282683] [MeSH:C0282683] [MeSH:C0282683] [MeSH:C0282683] variant hepatitis b virus hbv [MeSH:C0019169] represent emerge challenge associate vaccine [MeSH:C0042210] escape hbv reactivation failure [MeSH:C0035078] diagnostic test [MeSH:C0086143] recent suggest preferential selection [MeSH:C0036892] immune escape [MeSH:C0282683] [MeSH:C0282683] [MeSH:C0282683] [MeSH:C0282683] mutant distinct peripheral [MeSH:C3658334] blood leukocyte compartment infected individual [MeSH:C0021228] systematically analyze functional [MeSH:C0031843] impact prevalent immune escape [MeSH:C0282683] [MeSH:C0282683] [MeSH:C0282683] [MeSH:C0282683] variant sg15r sp10 mutant viral replication [MeSH:C0165675] [MeSH:C0042774] [MeSH:C0165675] [MeSH:C0165675] [MeSH:C0165675] [MeSH:C0042774] efficacy [MeSH:C5690761] antiviral drug susceptibility common treatment-associated [MeSH:C0877578] mutant resistance [MeSH:C0034471] [MeSH:C0034471] lam [MeSH:C0065041]ivudine lam [MeSH:C0065041] hbeag negativity replication [MeSH:C0165675] [MeSH:C0165675] [MeSH:C0165675] [MeSH:C0165675]-competent hbv strain sg15r sp10 lam [MeSH:C0065041] resistance [MeSH:C0034471] [MeSH:C0034471] rtm24i rtl10 rtm24v generate hbeag-positive hbeag-negative precore pc basal core promoter bcp mutant sg15r mutation strongly reduce hbsag [MeSH:C0019168] level [MeSH:C0018759] [MeSH:C0018759] able fully restore impaired [MeSH:C0020580] [MeSH:C0020580] replication [MeSH:C0165675] [MeSH:C0165675] [MeSH:C0165675] [MeSH:C0165675] lam [MeSH:C0065041]-resistant hbv mutant level [MeSH:C0018759] [MeSH:C0018759] wild-type hbv pc bcp mutation enhance viral replication [MeSH:C0165675] [MeSH:C0042774] [MeSH:C0165675] [MeSH:C0165675] [MeSH:C0165675] [MeSH:C0042774] sp10 substitution [MeSH:C2936279] impaired [MeSH:C0020580] [MeSH:C0020580] hbsag [MeSH:C0019168] secretion enhance replication [MeSH:C0165675] [MeSH:C0165675] [MeSH:C0165675] [MeSH:C0165675] lam [MeSH:C0065041]-resistant clone concomitant [MeSH:C0152203] occurrence hbeag negativity pc bcp sp10 lam [MeSH:C0065041] resistance [MeSH:C0034471] [MeSH:C0034471] result restoration [MeSH:C4505207] replication [MeSH:C0165675] [MeSH:C0165675] [MeSH:C0165675] [MeSH:C0165675] level [MeSH:C0018759] [MeSH:C0018759] wild-type hbv clone [MeSH:C0062529] combined immune escape [MeSH:C0282683] [MeSH:C0282683] [MeSH:C0282683] [MeSH:C0282683] lam [MeSH:C0065041] resistance [MeSH:C0034471] [MeSH:C0034471] mutation nucleotide analogue adefovir tenofovir [MeSH:C0384228] remain effective suppress [MeSH:C0017372] viral replication [MeSH:C0165675] [MeSH:C0042774] [MeSH:C0165675] [MeSH:C0165675] [MeSH:C0165675] [MeSH:C0042774] vitro finding reveal differential impact immune escape [MeSH:C0282683] [MeSH:C0282683] [MeSH:C0282683] [MeSH:C0282683] variant replication [MeSH:C0165675] [MeSH:C0165675] [MeSH:C0165675] [MeSH:C0165675] drug susceptibility complex hbv mutant support need close surveillance [MeSH:C0220920] adjustment response selection [MeSH:C0036892] distinct mutational pattern,hepatorenal
glycerol [MeSH:C0017861] correlate impaired glucose tolerance dissection complex system [MeSH:C0271650] use simple genetic trait,glycerol kinase gk [MeSH:C0017868] represent primary entry glycerol glucose triglyceride metabolism impaired [MeSH:C0020580] glucose tolerance [MeSH:C0017741] igt hypertriglyceridemia [MeSH:C0020557] associate [MeSH:C0004083] increase risk diabetes mellitus [MeSH:C0011849] cardiovascular disease [MeSH:C0012634] [MeSH:C0007222] relationship [MeSH:C0021797] glycerol risk [MeSH:C0035647] igt poorly understand undertake fasting [MeSH:C0015663] plasma glycerol [MeSH:C0017861] level [MeSH:C0018759] cohort [MeSH:C1706962] [MeSH:C1706962] unrelated man woman [MeSH:C0043210] french-canadian descent family screening [MeSH:C0220908] initial cohort [MeSH:C1706962] [MeSH:C1706962] identify man family [MeSH:C0015576] severe hyperglycerolemia value mmol liter demonstrate x-linked pattern inheritance [MeSH:C0241764] linkage microsatellite marker surround xp2 gk gene result peak lod score center marker dxs8 addition family originate population [MeSH:C0032659] prove founder [MeSH:C0242918] effect-the saguenay lac-st -jean region quebec-a common disease [MeSH:C0012634] haplotype [MeSH:C0018591] [MeSH:C0018591] seek six-marker haplotype [MeSH:C0018591] [MeSH:C0018591] extend region cm observe family resequencing gk gene family member [MeSH:C0086282] lead discovery n28d missense mutation exon result [MeSH:C0599155] substitution [MeSH:C2936279] highly conserve asparagine residue negatively charge aspartic acid,cardiovascular
cancer marker [MeSH:C0041365] lung cancer [MeSH:C0242379],hypothesis [MeSH:C3179072] ace inhibitor [MeSH:C0003015] improve dementia [MeSH:C0497327] outcome angina pathway method observational trial [MeSH:C0302523] diabetic [MeSH:C1263960] patient [MeSH:C0030705] measure metastatic [MeSH:C1522484] deep vein thrombosis [MeSH:C0149871] result reduction [MeSH:C1827449] adverse event [MeSH:C0041755] potential therapeutic [MeSH:C0087111] benefit [MeSH:C0021674],cardiovascular|oncological
glutamate connection diabetes mellitus [MeSH:C0011849],design [MeSH:C0013171] randomized control [MeSH:C1096777] investigation [MeSH:C0035173] aspirin [MeSH:C0004057] stroke [MeSH:C0038454] participant [MeSH:C1708335] elderly patient norepinephrine cerebral result enhance therapeutic response [MeSH:C0087111] hypothalamus [MeSH:C0020663] correlation [MeSH:C0010100] therapeutic innovation [MeSH:C0087111],neurological
cortical pattern dementia [MeSH:C0497327] patient [MeSH:C0030705],hypertension [MeSH:C0020538] affect cancer [MeSH:C0006826] patient [MeSH:C0030705] [MeSH:C0030705] worldwide particularly involve substantia nigra dystonia method [MeSH:C0038590] conduct prospective evaluate ace inhibitor [MeSH:C0003015] patient [MeSH:C0030705] [MeSH:C0030705] examine transient ischemic attack [MeSH:C0007787] parameter result enhance therapeutic response [MeSH:C0087111] cost-effectiveness [MeSH:C1511536] implication,neurological
simvastatin-ezetimibe-induced hepatic failure [MeSH:C0085605] necessitate liver transplantation [MeSH:C0023911],abstract serum aminotransferase [MeSH:C0002594] elevation commonly know adverse effect [MeSH:C0001688] -hydroxy methylglutaryl coenzyme reductase inhibit [MeSH:C0021463]or statin therapy hepatotoxic event widely publish ezetimibe [MeSH:C1142985] [MeSH:C1142985] [MeSH:C1142985] combination agent simvastatin [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554]-ezetimibe [MeSH:C1142985] [MeSH:C1142985] [MeSH:C1142985] describe -year-old hispanic [MeSH:C0019576] woman [MeSH:C0043210] develop fulminant [MeSH:C0302809] hepatic failure [MeSH:C0085605] necessitate liver [MeSH:C0023884] transplantation [MeSH:C0023911] [MeSH:C0023911] week conversion [MeSH:C0017259] [MeSH:C0017259] [MeSH:C0017259] simvastatin [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] mg simvastatin [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] mg-ezetimibe [MeSH:C1142985] [MeSH:C1142985] [MeSH:C1142985] [MeSH:C1142985] mg lipid panel [MeSH:C0023779] maintain simvastatin [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] month conversion [MeSH:C0017259] [MeSH:C0017259] [MeSH:C0017259] evidence [MeSH:C5575834] hepatotoxicity [MeSH:C0235280] [MeSH:C0235280] [MeSH:C0235280] [MeSH:C0235280] [MeSH:C0235280] routine laboratory work-up week conversion [MeSH:C0017259] [MeSH:C0017259] [MeSH:C0017259] reveal elevated [MeSH:C0020443] serum aminotransferase [MeSH:C0002594] level simvastatin [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554]ezetimibe [MeSH:C1142985] [MeSH:C1142985] [MeSH:C1142985] escitalopram [MeSH:C1099456] take depression [MeSH:C0011570] discontinue potential cause hepatotoxicity [MeSH:C0235280] [MeSH:C0235280] [MeSH:C0235280] [MeSH:C0235280] [MeSH:C0235280] exclude repeat work-up reveal elevation aminotransferase [MeSH:C0002594] level liver [MeSH:C0023884] biopsy [MeSH:C0005558] reveal evidence [MeSH:C5575834] moderate-to-severe drug toxicity [MeSH:C0013221] undergo liver [MeSH:C0023884] transplantation [MeSH:C0023911] [MeSH:C0023911] uneventful postoperative [MeSH:C0032786] course aminotransferase [MeSH:C0002594] level return normal postoperative [MeSH:C0032786] -year follow-up [MeSH:C3899107] show adverse event [MeSH:C0041755] ezetimibe [MeSH:C1142985] [MeSH:C1142985] [MeSH:C1142985] undergo extensive glucuronidation [MeSH:C0752086] [MeSH:C0752086] uridine diphosphate [MeSH:C0041986] glucoronosyltransferase ugt intestine liver [MeSH:C0023884] inhibit [MeSH:C0021463] glucuronidation [MeSH:C0752086] [MeSH:C0752086] simvastatin [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] hydroxy acid [MeSH:C0020317] result increase simvastatin [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] exposure [MeSH:C1390376] [MeSH:C1390376] subsequent hepatotoxicity [MeSH:C0235280] [MeSH:C0235280] [MeSH:C0235280] [MeSH:C0235280] [MeSH:C0235280] knowledge [MeSH:C0376554] case report [MeSH:C0684224] simvastatin [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554]-ezetimibe [MeSH:C1142985] [MeSH:C1142985] [MeSH:C1142985]-induced liver [MeSH:C0023884] failure result liver [MeSH:C0023884] transplantation [MeSH:C0023911] [MeSH:C0023911] postulate mechanism [MeSH:C1524059] simvastatin [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554]ezetimibe [MeSH:C1142985] [MeSH:C1142985] [MeSH:C1142985]-induced hepatotoxicity [MeSH:C0235280] [MeSH:C0235280] [MeSH:C0235280] [MeSH:C0235280] [MeSH:C0235280] increase simvastatin [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] exposure [MeSH:C1390376] [MeSH:C1390376] ezetimibe [MeSH:C1142985] [MeSH:C1142985] [MeSH:C1142985] inhibit [MeSH:C0021463]ion ugt enzyme clinician aware potential hepatotoxicity [MeSH:C0235280] [MeSH:C0235280] [MeSH:C0235280] [MeSH:C0235280] [MeSH:C0235280] simvastatin [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554] [MeSH:C0074554]-ezetimibe [MeSH:C1142985] [MeSH:C1142985] [MeSH:C1142985] especially elderly patient carefully monitor serum aminotransferase [MeSH:C0002594] level start therapy titrate dosage [MeSH:C0178655],hepatorenal
cognitive impairment [MeSH:C0338656] pattern leukemia [MeSH:C0023418] patient [MeSH:C0030705],question [MeSH:C0600648] metformin [MeSH:C0025598] affect stroke [MeSH:C0038454] ataxia [MeSH:C0004134] mechanism method randomized control adult population [MeSH:C0032659] assess norepinephrine dysarthria [MeSH:C0028351] result improve outcome [MeSH:C0206277] implication potential therapeutic [MeSH:C0087111] benefit [MeSH:C0021674],neurological
